"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"lcl|KC207814.1_cds_AFY97909.1_1",109.766024011208,-0.134439975247776,0.776490033041859,-0.173138056545445,0.862542911847687,1
"lcl|KC207814.1_cds_AFY97910.1_2",10.1927644663204,1.64316300170934,5.70593663814508,0.287974281159123,0.773366425778596,1
"lcl|KC207814.1_cds_AFY97911.1_3",208.794230820414,2.07499019051988,1.34998501643987,1.53704683033592,0.124281841844587,1
"lcl|KC207814.1_cds_AFY97912.1_4",2.17999855329791,2.36641683366413,2.87789864905993,0.82227247107438,0.41092184078599,1
"lcl|KC207814.1_cds_AFY97917.1_5",4310.10569459544,-0.171390910126913,1.53584052714278,-0.111594209879175,0.911145163193129,1
"lcl|KC207814.1_cds_AFY97916.1_6",1575.10109143707,-0.166975807081911,1.52790526821383,-0.109284135970754,0.912977128889277,1
"lcl|KC207814.1_cds_AFY97918.1_7",1792.77235556376,0.217643397775983,1.08367577768437,0.20083811252204,0.840825160574734,1
"lcl|KC207814.1_cds_AFY97920.1_8",174.277171088614,1.96737361832093,2.55405712677018,0.770293505849978,NA,NA
"lcl|KC207814.1_cds_AFY97919.1_9",73.3457062096894,1.74242897265635,2.19479094491226,0.793892911165628,NA,NA
"lcl|KC207814.1_cds_AFY97921.1_10",30.0902402416312,2.52212626913244,2.73641034710719,0.921691540816866,NA,NA
"lcl|KC207814.1_cds_AFY97922.1_11",148.860435817387,2.36016635462259,2.6765165741035,0.881805245466538,NA,NA
"lcl|KC207814.1_cds_AFY97923.1_12",247.237709071818,2.33367231661932,2.34149666580739,0.996658398321752,NA,NA
"lcl|KC207814.1_cds_AFY97924.1_13",134.848391692131,2.43105341035983,2.41071307154234,1.00843747812944,NA,NA
"lcl|KC207814.1_cds_AFY97925.1_14",389.853119164011,0.0724830622569904,1.02804759386397,0.070505551192002,0.943791282335649,1
"lcl|KC207814.1_cds_AFY97926.1_15",135.81773503056,1.95999476547237,1.56872041641343,1.24942261537815,0.211510540999338,1
"lcl|KC207814.1_cds_AFY97927.1_16",651.161013851108,1.99329880570341,1.84483215247651,1.08047705208715,0.279929800268502,1
"lcl|KC207814.1_cds_AFY97928.1_17",51.1634554494358,1.5893258084429,1.4444916597442,1.10026651778962,0.271216015952962,1
"lcl|KC207814.1_cds_AFY97929.1_18",405.123209591643,1.65572739393725,2.00605877321962,0.825363352280999,0.409165334495403,1
