"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000374935.7",13.3927492569387,16.316200260409,3.07557898110844,5.30508250987221,1.12622043069525e-07,0.00672556316802588
"ENST00000681767.1",36.2427072153182,18.6123176589348,2.35071130678119,7.91773860330831,2.41869177740715e-15,1.444394355632e-10
"ENST00000373871.8",51.1537856277649,19.8672719951345,3.29218299913989,6.03468033226739,1.59277672164836e-09,9.51174402633966e-05
"ENST00000692369.1",47.7485981673577,19.4850399691445,3.57120782952615,5.45614842352369,4.86573257456436e-08,0.00290571817887835
"ENST00000395334.6",264.037900332498,21.3101779916993,3.28156529874931,6.49390642929494,8.36387076880371e-11,4.9947363457142e-06
"ENST00000359785.10",136.583647741563,21.2028423671945,2.85579058774548,7.42450880613527,1.13199212389296e-13,6.76003056546396e-09
"ENST00000368843.8",44.3716293815062,-26.0069693922649,4.35526249946053,-5.97138964539711,2.3524115824352e-09,0.000140481314879865
"ENST00000463920.5",51.5560109361664,19.8139236926739,3.55045319179724,5.58067452866322,2.39587605298221e-08,0.00143076926131992
"ENST00000368284.5",58.313699027918,19.6975149117729,2.91528595547586,6.75663218380841,1.41236129208462e-11,8.43433916407093e-07
"ENST00000271452.8",71.4104351611015,19.9555344131041,3.18848316341861,6.25862938279036,3.88375613103109e-10,2.31930148632914e-05
"ENST00000683652.1",89.0314891295866,20.8148082747997,2.90551594360131,7.16389401360513,7.84170393524787e-13,4.68290875605132e-08
"ENST00000367342.8",25.5247552111364,18.6230721889192,3.45533904823721,5.38965118297727,7.05945708731047e-08,0.00421576658340007
"ENST00000646651.1",45.8791793507984,19.0225708106449,3.59193192453152,5.29591629527499,1.18421077918911e-07,0.00707186993116153
"ENST00000695780.1",139.865004534454,20.3075203211337,3.41614316462523,5.94457531271574,2.77174513450039e-09,0.000165523075942094
"ENST00000614059.4",40.4854012297207,19.4173057392314,2.71701012886784,7.14657097996259,8.89723934730208e-13,5.31325339342185e-08
"ENST00000678320.1",19.3097945254465,-27.73172037672,4.75717284352876,-5.82945402424126,5.56090148030833e-09,0.000332085914601053
"ENST00000366769.7",41.2738241941995,18.8667824168597,2.88289767917295,6.54438156205121,5.97420882320184e-11,3.56767802503967e-06
"ENST00000460720.5",28.5748272544756,19.8330756126722,3.33239222431716,5.95160301597937,2.65528805070186e-09,0.000158568491811814
