"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Transcript.stable.ID"
"ENST00000374935.7",13.3927492569387,17.4785264802736,3.07697726239862,5.68042107228587,1.34363545091863e-08,0.00080239221857959,"ENST00000374935"
"ENST00000681767.1",36.2427072153182,18.3374666611247,2.35578851703354,7.78400375438437,7.02646713485391e-15,4.19606564359206e-10,"ENST00000681767"
"ENST00000373871.8",51.1537856277649,19.4822428989596,3.29398640506224,5.91448794962209,3.32909608298368e-09,0.000198806959883619,"ENST00000373871"
"ENST00000677006.1",65.7333755615545,-22.8203583650393,3.61928347972097,-6.30521441409686,2.87795202786734e-10,1.71865539200182e-05,"ENST00000677006"
"ENST00000677644.1",32.1957769321093,-21.9783257309278,3.41799873331234,-6.43017374954637,1.27458167930977e-10,7.6115468725021e-06,"ENST00000677644"
"ENST00000692369.1",47.7485981673577,18.8658775429521,3.57389919914958,5.27879397030597,1.30036915540802e-07,0.0077655445222656,"ENST00000692369"
"ENST00000493821.6",55.0670635394451,-24.1451251050985,3.63050428027878,-6.65062570956244,2.9184960560367e-11,1.742867474744e-06,"ENST00000493821"
"ENST00000395334.6",264.037900332498,21.4449977498144,3.28190250184458,6.53431896217555,6.38996355712969e-11,3.81595843704671e-06,"ENST00000395334"
"ENST00000359785.10",136.583647741563,19.1056296323832,2.85908449248231,6.68242917710883,2.35013549421174e-11,1.40345391443337e-06,"ENST00000359785"
"ENST00000463920.5",51.5560109361664,-30,3.74027584569909,-8.02079879602911,1.05059695924104e-15,6.27395492119563e-11,"ENST00000463920"
"ENST00000368284.5",58.313699027918,20.3715856114084,2.91584828804041,6.98650396008738,2.81820453276828e-12,1.68297538287856e-07,"ENST00000368284"
"ENST00000649676.1",101.13273869083,-22.9956581326495,3.57375553395064,-6.43459182201775,1.23805577295868e-10,7.39342146495465e-06,"ENST00000649676"
"ENST00000271452.8",71.4104351611015,20.044371376597,3.18950419234018,6.28447876780818,3.28955486905543e-10,1.96445637670252e-05,"ENST00000271452"
"ENST00000367866.7",168.64307240454,-25.187672222221,3.1017428933216,-8.12049002399677,4.6430514027035e-16,2.77273743666647e-11,"ENST00000367866"
"ENST00000489398.1",14.1728549214044,-20.6518613785962,2.63019391387819,-7.85183984710287,4.09977819738953e-15,2.44830554391708e-10,"ENST00000489398"
"ENST00000683652.1",89.0314891295866,21.2019338330773,2.90592719908222,7.29609944797429,2.96229986083052e-13,1.76902623089077e-08,"ENST00000683652"
"ENST00000417584.6",29.156427180426,-21.5735962926117,3.48082687508481,-6.19783662526624,5.72445138910775e-10,3.41852788054736e-05,"ENST00000417584"
"ENST00000367535.8",65.5984203072833,-19.8398773250318,2.8340033612997,-7.00065412622978,2.54770188648873e-12,1.52143661257334e-07,"ENST00000367535"
"ENST00000367352.3",33.2417284018001,-21.8237720814891,3.54566684562134,-6.15505433299238,7.50517608331464e-10,4.48194105343384e-05,"ENST00000367352"
"ENST00000367342.8",25.5247552111364,18.4401374250659,3.45869775846417,5.33152611555575,9.73908118586785e-08,0.00581598450257656,"ENST00000367342"
"ENST00000646651.1",45.8791793507984,18.9504044357379,3.59413120597217,5.27259672775693,1.34506904234175e-07,0.00803248330705647,"ENST00000646651"
"ENST00000695780.1",139.865004534454,21.833614862207,3.41607607137969,6.39143110574492,1.64340324122266e-10,9.81407547593347e-06,"ENST00000695780"
"ENST00000614059.4",40.4854012297207,19.7451567118646,2.71832631689897,7.26371833621122,3.76591779494997e-13,2.24893078878822e-08,"ENST00000614059"
"ENST00000655399.1",345.079049903887,-23.3812026974544,3.49311572891104,-6.69350932290566,2.17881143517221e-11,1.30114261285614e-06,"ENST00000655399"
"ENST00000366769.7",41.2738241941995,18.7672387633253,2.8860108190908,6.50283035641484,7.88226701135738e-11,4.7071322138424e-06,"ENST00000366769"
"ENST00000680850.1",110.37575872623,-24.0458490030763,3.78652515833404,-6.35037349485239,2.14792783880081e-10,1.28269954677507e-05,"ENST00000680850"
"ENST00000460720.5",28.5748272544756,18.5746728192408,3.33649364876734,5.56712368570017,2.58978574805664e-08,0.00154656825302446,"ENST00000460720"
"ENST00000380834.7",177.214246589612,21.1883516514336,3.50904536163249,6.038209674661,1.5583349437884e-09,9.30606461731555e-05,"ENST00000380834"
