"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENST00000379116.10",23.6969568554214,-6.94057467620921,2.19990178079007,-3.15494752393745,0.00160526975463623,0.104001940045933
"ENST00000533916.5",32.6202987287398,1.87008869428999,0.713211634911514,2.62206700332645,0.00873982465268745,0.387647639282741
"ENST00000488340.5",29.789902416491,-7.29940825338606,2.80760483613937,-2.59987023794388,0.00932590175017922,0.408546092047065
"ENST00000518681.6",8.17950526397034,-19.3075174339653,5.13703867810394,-3.7584917388809,0.000170940681473622,0.0141945586033199
"ENST00000629312.2",14.2845945531022,-20.2357985502881,4.04858576938361,-4.99823881793888,5.78563033593437e-07,0.000363470370055208
"ENST00000474916.1",23.5644246876756,-20.6108001032159,3.63784149625692,-5.66566743614943,1.4645333291397e-08,1.87079487464306e-05
"ENST00000442392.6",27.6459772814107,-7.03643168170498,1.99018957884682,-3.53555849979986,0.000406914137661255,0.0314073788186397
"ENST00000649348.1",28.6058887399349,-6.84997545808202,2.49026797854972,-2.75069812449313,0.00594684177392024,0.29161211831116
"ENST00000676052.1",7.82813147865726,-20.8300711598105,5.13642484272198,-4.05536375935209,5.00563419589447e-05,0.00612997034530769
"ENST00000674544.1",6.46640141558616,-19.2884965204645,5.13706127038149,-3.75477252562185,0.000173498976807656,0.0143914021411753
"ENST00000690452.1",32.2099333613557,-23.6082039411713,5.1359033465956,-4.5966994213044,4.29236139826604e-06,0.00151052096406756
"ENST00000614998.4",22.5617365050898,-20.9472966939231,5.13677019222677,-4.07791197776798,4.54419628226656e-05,0.0058047563309673
"ENST00000646370.2",15.835736221989,-20.600500803539,5.13676096831514,-4.01040673891741,6.06142391871375e-05,0.00665575608633089
"ENST00000676179.1",209.748762165717,-9.97018744839958,2.20486967799709,-4.52189421800954,6.12886880699096e-06,0.00186471159991674
"ENST00000473471.5",21.8215399479908,-7.02468333597463,2.14135819279597,-3.28048028564642,0.00103630506955354,0.0724694942982314
"ENST00000646917.1",14.4675331240663,-23.6358549055373,5.13609683882007,-4.60190990303976,4.18634300180626e-06,0.00149546355981015
"ENST00000407521.7",24.8481002421152,-6.91761892773478,2.12415778142979,-3.25664081463782,0.00112738995072229,0.0776349284664505
"ENST00000456164.5",25.9012857034318,-6.84196622678771,1.91744311107066,-3.56827599592632,0.000359337879628812,0.0281318615385809
"ENST00000690732.1",52.7674128422854,-22.5793696155439,5.02810204928394,-4.4906347154906,7.10112446144919e-06,0.00199362118396818
"ENST00000674390.1",18.1359904581084,-6.88383649860145,2.12041709071934,-3.24645397772479,0.00116852339290816,0.0799270473304365
"ENST00000674432.1",16.5719470903231,-22.8592816814059,5.13670050510534,-4.45018775353677,8.57952501412531e-06,0.00224426319174956
"ENST00000419948.5",27.9945079951324,-6.81267509740077,2.41323769827528,-2.82304354116038,0.00475701106723085,0.247351666375062
"ENST00000681767.1",35.9263744193438,8.45644404936491,3.186187624046,2.65409481398539,0.00795214791032017,0.364312079764876
"ENST00000411888.5",11.7594097224924,-6.05263620371649,1.79125438152991,-3.37899310456783,0.000727518328756571,0.052903144961308
"ENST00000481736.5",12.5032538722148,4.38113206055999,1.2660529592271,3.4604650845211,0.000539243158867109,0.0402824100080026
"ENST00000705681.1",193.289305691047,-21.1108115298006,5.13575973878824,-4.11055279131527,3.94713021633715e-05,0.00545088014956657
"ENST00000361547.7",88.5579262009555,-8.47775210495898,2.85197325719588,-2.97259172524447,0.00295296961213245,0.171330358025949
"ENST00000435827.6",9.36266494282301,-4.70649682414529,1.81667383644941,-2.59072197205409,0.00957748333541361,0.415896109212148
"ENST00000608611.5",5.90824159755158,-19.7749039695036,5.13710080140363,-3.84942883816888,0.000118393572490764,0.0102301656933282
"ENST00000318074.9",40.7862256722945,-20.0112312478272,5.13691938129159,-3.8955704309293,9.79678879428941e-05,0.00868052116011003
"ENST00000644989.1",9.23834819992705,-21.0885300114083,5.13647841969352,-4.10563975710553,4.03197421811513e-05,0.00550849611360457
"ENST00000373925.5",35.3660843481963,-8.15564875237735,3.13303667582899,-2.60311308044915,0.00923814776391968,0.40540565077503
"ENST00000361872.8",51.8049630397712,-20.0927342534321,3.85835804745978,-5.20758675226124,1.91312402153887e-07,0.000146629477506825
"ENST00000373742.6",37.6595052504972,-5.45051058573683,1.97544497900613,-2.75913054712314,0.00579553777313238,0.285838608162135
"ENST00000680046.1",8.32350062601703,-5.79791704363253,2.21229227350167,-2.62077353570261,0.00877305185587026,0.388896348433384
"ENST00000676957.1",24.7420457631196,-23.8394125377341,5.13612640996305,-4.64151592754618,3.45862356004026e-06,0.00135939868787552
"ENST00000492007.6",16.1449822706278,-2.00467944675026,0.710279275881959,-2.82238200496703,0.00476683596518068,0.247593667117556
"ENST00000457946.1",26.9008970816547,-22.8846550486123,5.13608223930844,-4.45566367171208,8.36340605485594e-06,0.00220276595762329
"ENST00000697011.1",49.6936087097758,-8.35193613061543,2.09649972855047,-3.98375254567288,6.78355093337275e-05,0.00694097963179685
"ENST00000460017.1",4.53318620553597,-4.78249004066932,1.6376688601906,-2.92030346117268,0.0034969069011551,0.196062130601413
"ENST00000476350.1",14.1501247145913,-4.14179437171483,1.43006229143334,-2.89623353928418,0.00377671223448822,0.207797797918245
"ENST00000676863.1",64.7663560094749,-4.03138119861956,1.36455291964698,-2.95436046530355,0.00313317804022644,0.179476306214585
"ENST00000424977.1",30.581235885509,-7.18708344567756,1.61447480067279,-4.4516541494996,8.52113295557959e-06,0.00223662230906658
"ENST00000443729.6",13.5587741470874,7.75457655970637,2.71558890717046,2.85557822807073,0.00429585385888801,0.229924178184785
"ENST00000427410.6",16.095662980071,-23.317802450166,5.13655238515379,-4.53958233105178,5.63657685809776e-06,0.00176109572150183
"ENST00000372502.5",47.6739015033254,1.99262666645558,0.71870004623797,2.77254283881846,0.00556201980166143,0.277897943727861
"ENST00000562955.2",43.5792945545084,22.2356546044158,5.0670138903626,4.38831530474147,1.1423208476612e-05,0.00262222947864055
"ENST00000347631.8",8.37038101214692,-20.3788796391725,5.13689502129775,-3.96715906295163,7.27344517443685e-05,0.00715617370923669
"ENST00000450269.6",6.44731616258431,-5.8972132524725,2.22622002430373,-2.64898041886803,0.00807350092431965,0.367231694269172
"ENST00000246337.9",58.4451101300467,21.8014891858703,5.06716196502683,4.30250490044378,1.68877934539927e-05,0.00318804936327049
"ENST00000355498.6",22.4838671901853,-20.3071494871633,5.13686844395832,-3.95321579843987,7.71078361902186e-05,0.0072745136534667
"ENST00000437901.6",77.6596349269272,-8.86474161214456,3.16884303520935,-2.79746945924664,0.00515046362478515,0.262317068801725
"ENST00000359942.8",21.9322553803367,-7.02632169778751,1.90778924895042,-3.68296534937131,0.000230536505900043,0.0186581203360115
"ENST00000706288.1",57.5654201019846,-21.2561534996704,4.20692475616168,-5.05265835062478,4.35702860465826e-07,0.000290382695978633
"ENST00000494469.5",16.9912412454392,7.56343825671659,2.65504776157529,2.84870139293805,0.00438980602408327,0.233972387280833
"ENST00000540265.5",11.7502293390999,-5.42406278028386,1.92202483165542,-2.82205655772521,0.00477167612725746,0.247610253959053
"ENST00000342505.5",382.677728603498,-24.2547644315209,5.00979345043829,-4.84146994710909,1.28882169820632e-06,0.000710650721131834
"ENST00000395334.6",188.690616076461,22.6371379430387,4.3646049766654,5.1865261722571,2.14252925914365e-07,0.000157896165901736
"ENST00000401042.7",35.7136056066884,-20.8717165554646,5.13597486600126,-4.06382762766804,4.82744817994291e-05,0.00602351033486083
"ENST00000679976.1",70.5289359531331,-19.5632437047371,5.13711914086312,-3.8082129630052,0.000139974701445664,0.0118413035514365
"ENST00000493514.1",21.1493687384972,-20.8717488460336,5.1360822937948,-4.06374891446929,4.82907723826663e-05,0.00602351033486083
"ENST00000446900.6",18.364450321104,-3.84823014086851,1.41806167464927,-2.71372550973166,0.00665312681010094,0.318635581673764
"ENST00000684568.2",56.879411315689,-7.8319911912021,2.18737960676647,-3.58053589188384,0.000342890236453341,0.0269820115839116
