UniqueCount	AmbigCount
49	263
0	263
890	0
6	0
1138	0
3638	0
1082	0
53534	0
2895	0
883	0
395	0
171	0
763	16
1304	16
673	0
1053	0
536	0
613	0
3637	0
222	0
1986	0
2246	0
1999	0
308	0
109	0
327	0
188	0
663	0
1444	287
0	287
475	0
400	0
1028	0
215	0
431	0
357	0
125	0
380	0
595	0
162	0
1181	0
1687	0
247	0
110	4
99	4
1436	0
577	0
121	0
1020	0
616	26
135	26
91	0
264	0
433	0
181	0
74	0
27	0
816	0
1129	0
546	0
1300	0
168	0
148	0
563	0
263	0
41	6
114	6
44	0
95	1246
0	1246
315	0
238	0
0	0
2	0
124	104
19	0
319	104
1044	99
350	121
563	732
1163	745
3613	0
100	0
77	0
748	0
371	0
1840	0
