UniqueCount	AmbigCount
300	1336
0	1336
8283	0
86	0
13716	0
3973	0
17646	0
7243	0
2767	0
1358	0
6879	176
11398	196
6829	20
4846	0
4814	0
27108	0
1544	0
14575	0
16273	0
14055	0
2090	0
781	0
2480	0
1608	0
6252	0
13448	2774
0	2774
2491	0
1429	0
3724	0
2366	0
3714	0
2483	0
925	0
2568	0
2230	0
1376	0
9706	0
12962	0
1354	0
993	15
712	15
11178	0
5529	0
776	0
6162	0
4101	249
1004	249
599	0
1406	0
3846	0
1594	0
520	0
211	0
5729	0
11396	0
5950	0
12705	0
1028	0
967	0
4543	0
1950	0
298	103
1094	103
342	0
706	11971
0	11971
3258	0
0	0
19	0
947	114
158	0
890	114
6557	146
2289	160
4647	14
29644	0
821	0
575	0
3205	0
1457	0
4125	0
