UniqueCount	AmbigCount
0	11
0	1
0	668
0	0
0	3
0	2
0	0
0	3
0	3
0	0
0	0
0	0
0	0
2	60
0	12
0	10
0	15
0	4
0	31
0	8
1	222
1	45
0	19
57	32
0	18
0	143
0	23
0	13
2	52
0	0
0	0
0	2
2	866
0	145
0	167
0	152
0	143
0	97
9	59
0	0
0	76
0	0
0	0
0	0
0	0
0	14
0	0
0	4
0	38
4	23
0	8
3	35
0	193
0	138
0	135
0	115
0	140
0	103
1	43
0	114
0	111
0	28
0	25
0	11
1	18
1	29
0	16
0	26
0	0
0	0
0	4
0	1
0	318
0	5
0	4
0	14
0	0
0	0
2	29
0	5
0	0
0	54
0	4
0	0
0	10
0	45
0	3
0	8
0	0
0	0
2	8709
285	21147
3	72538
3	0
0	22895
1	67
913	40575
2	21632
0	0
0	1
18	1218
0	13
0	0
0	0
0	38
0	18
0	18
0	17
0	19
0	15
0	52
0	52
0	17
0	17
0	20
0	15
0	17
0	17
0	19
0	54
0	55
0	9
0	0
0	0
0	3
0	0
0	0
0	3
0	4
0	4
0	3
0	3
0	1
0	3
0	8
0	4
0	4
0	35
5	9
0	8
0	0
37	19
0	6
0	55
0	51
8	72
4	57
0	128
4	99
0	70
0	78
5	12
0	63
0	78
0	67
0	72
2	9
0	49
0	59
0	21
0	55
0	72
0	72
0	51
0	15
0	50
0	48
0	57
0	68
0	67
0	63
0	76
0	55
0	54
0	60
0	57
0	24
0	63
0	75
0	59
0	24
0	17
0	38
0	15
0	48
1	13
1	4
1	4
0	50
0	23
0	45
0	1
0	0
1	0
2	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
54	1943
8	802
61	1847
0	0
0	447
6	49
90	78
26	23
10	55
17	10
6	12
0	11
1	12
0	2
0	4
0	1
0	1
0	1
0	0
4	0
0	54
3	50
1	53
0	44
0	5704
0	4159
184	5703
0	16
0	0
0	1475
0	1431
0	1396
0	1440
0	60
2	73
3	54
1	21
0	49
42	421
0	79
0	43
0	43
0	26
0	43
1	47
0	43
0	47
0	43
0	32
0	26
7	0
1	1
0	0
1	141
0	133
0	144
0	139
26	125
0	136
6	147
0	30
0	100
0	60
0	37
0	38
0	17
0	14
0	11
0	11
0	8
2	11
0	3
1	14
1	0
0	0
0	0
0	0
0	0
0	10
0	1
0	1
2	11
0	1
0	1
0	0
0	0
0	0
0	107
1	153
11	76
1	78
1	24
0	26
0	29
0	28
1	26
0	29
0	22
0	28
0	19
0	19
0	23
0	24
0	24
0	7
0	1085
0	1034
0	995
71	681
3	633
0	369
0	259
358	0
0	1
1	0
0	0
0	1
0	0
2	0
2	715
0	742
0	716
0	469
0	524
0	423
0	449
2	150
0	405
4	291
0	118
0	176
0	230
0	202
0	201
0	56
0	95
0	79
0	117
10	26
0	1
4	1
0	20
0	13
1	20
0	20
0	1
0	20
0	0
0	8
14	441
4	459
4	330
0	307
1	24
1	62
0	81
2	23
37	105
0	62
17	48
0	45
1	1
0	0
8	160
1	78
0	55
0	108
1	45
0	105
0	72
0	815
0	1121
0	1117
0	890
0	300
