"","Transcript.stable.ID","baseMean_day_7_vs_0","log2FoldChange_day_7_vs_0","lfcSE_day_7_vs_0","stat_day_7_vs_0","pvalue_day_7_vs_0","padj_day_7_vs_0","baseMean_day_4_vs_0","log2FoldChange_day_4_vs_0","lfcSE_day_4_vs_0","stat_day_4_vs_0","pvalue_day_4_vs_0","padj_day_4_vs_0","baseMean_day_28_vs_0","log2FoldChange_day_28_vs_0","lfcSE_day_28_vs_0","stat_day_28_vs_0","pvalue_day_28_vs_0","padj_day_28_vs_0","baseMean_day_21_vs_0","log2FoldChange_day_21_vs_0","lfcSE_day_21_vs_0","stat_day_21_vs_0","pvalue_day_21_vs_0","padj_day_21_vs_0","baseMean_day_2_vs_0","log2FoldChange_day_2_vs_0","lfcSE_day_2_vs_0","stat_day_2_vs_0","pvalue_day_2_vs_0","padj_day_2_vs_0","baseMean_day_14_vs_0","log2FoldChange_day_14_vs_0","lfcSE_day_14_vs_0","stat_day_14_vs_0","pvalue_day_14_vs_0","padj_day_14_vs_0","baseMean_Intercept","log2FoldChange_Intercept","lfcSE_Intercept","stat_Intercept","pvalue_Intercept","padj_Intercept","Gene.stable.ID","Gene.stable.ID.version","Transcript.stable.ID.version","Chromosome.scaffold.name","Gene.description","GENCODE.basic.annotation","Gene.name"
"1","ENST00000221249",55.1060213834476,20.3147034568366,3.6682465316219,5.53798750485141,3.05967084863054e-08,0.00182717423738519,55.1060213834476,19.3569025770754,3.66884125233628,5.27602620166493,1.32015220939214e-07,0.00842547543078251,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENSG00000032444","ENSG00000032444.17","ENST00000221249.10","19","patatin like phospholipase domain containing 6 [Source:HGNC Symbol;Acc:HGNC:16268]","GENCODE basic","PNPLA6"
"2","ENST00000222214",45.9391964153202,20.1996585219351,3.57639684477718,5.64804729414573,1.62280538600037e-08,0.0009691069204117,45.9391964153202,19.2433259843073,3.5770564221804,5.37965402641804,7.46291203884453e-08,0.00476297972143135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENSG00000105607","ENSG00000105607.13","ENST00000222214.10","19","glutaryl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4189]","GENCODE basic","GCDH"
"3","ENST00000233714",32.4528687788063,-22.1311563295671,4.02198596072112,-5.50254440112443,3.7434890674789e-08,0.00223553680131705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENSG00000115365","ENSG00000115365.13","ENST00000233714.8","2","LanC like glutathione S-transferase 1 [Source:HGNC Symbol;Acc:HGNC:6508]","GENCODE basic","LANCL1"
"4","ENST00000239891",28.9711455355774,19.4092655377743,3.62138042361876,5.35963176118877,8.33917547221524e-08,0.0049799888084975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENSG00000120697","ENSG00000120697.10","ENST00000239891.4","13","ALG5 dolichyl-phosphate beta-glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:20266]","GENCODE basic","ALG5"
"5","ENST00000246868",257.445719306314,-11.2254342609407,2.07346507346215,-5.41385259130366,6.16829522853551e-08,0.00368358254457683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENSG00000126524","ENSG00000126524.12","ENST00000246868.7","7","SBDS ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:19440]","GENCODE basic","SBDS"
"6","ENST00000252457",104.411543815646,-29.5505173357486,3.77543791944204,-7.8270436347463,4.99475773797555e-15,2.98276942596424e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENSG00000130177","ENSG00000130177.16","ENST00000252457.9","13","cell division cycle 16 [Source:HGNC Symbol;Acc:HGNC:1720]","GENCODE basic","CDC16"
"7","ENST00000258459",45.7161991525742,-23.2595248425158,3.51818416956026,-6.61123003274243,3.81139685601244e-11,2.27608997447351e-06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENSG00000196912","ENSG00000196912.13","ENST00000258459.12","2","ankyrin repeat domain 36B [Source:HGNC Symbol;Acc:HGNC:29333]","GENCODE basic","ANKRD36B"
"8","ENST00000258530",34.3922464823647,18.4139660011434,3.16973134325292,5.80931442039695,6.27291841237336e-09,0.000374606141750113,34.3922464823647,18.6354125259054,3.16801045445276,5.8823709055987,4.04430759627659e-09,0.000258115799409564,34.3922464823647,-25.1904917791842,3.7755670614105,-6.67197572429649,2.52382324675245e-11,1.7153164696553e-06,34.3922464823647,18.9861889701103,3.16821097865406,5.99271610951115,2.06364923656231e-09,0.000148813873746982,34.3922464823647,19.6085143755982,3.1657151007144,6.19402370452513,5.86474008550683e-10,3.50230548426297e-05,34.3922464823647,19.5038556401869,3.16753815777762,6.15741773853517,7.39406274941343e-10,4.56738650094017e-05,34.3922464823647,-13.5861170627321,2.38784968078594,-5.68968690619603,1.27272513934199e-08,0.00105263278099558,"ENSG00000136044","ENSG00000136044.12","ENST00000258530.8","12","adaptor protein, phosphotyrosine interacting with PH domain and leucine zipper 2 [Source:HGNC Symbol;Acc:HGNC:18242]","GENCODE basic","APPL2"
"9","ENST00000261655",10.5314858654648,-19.7631395409569,3.42551777133303,-5.76938753795055,7.95601518812645e-09,0.000475117315004536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENSG00000060709","ENSG00000060709.17","ENST00000261655.8","12","RIMS binding protein 2 [Source:HGNC Symbol;Acc:HGNC:30339]","GENCODE basic","RIMBP2"
"10","ENST00000263574",60.548836052999,-23.149221859997,3.66665787113247,-6.3134392882004,2.72901414972494e-10,1.62971266993274e-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENSG00000084234","ENSG00000084234.18","ENST00000263574.9","11","amyloid beta precursor like protein 2 [Source:HGNC Symbol;Acc:HGNC:598]","GENCODE basic","APLP2"
"11","ENST00000264454",126.031104105811,-23.4566251297409,4.26431606599083,-5.5006769589183,3.78335823563091e-08,0.00225934587115407,126.031104105811,-24.3024999777238,4.26431606599083,-5.69903815796944,1.20485258261804e-08,0.000768961015278488,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ENSG00000093183","ENSG00000093183.14","ENST00000264454.8","3","SEC22 homolog C, vesicle trafficking protein [Source:HGNC Symbol;Acc:HGNC:16828]","GENCODE basic","SEC22C"
"12","ENST00000265723",56.2544634706338,18.801606336107,2.41857229067816,7.77384509389012,7.61388411057588e-15,4.54685931315371e-10,56.2544634706338,19.5916179694449,2.41539118259346,8.1111573606098,5.01398715297383e-16,3.20002688077095e-11,56.2544634706338,17.0990821706143,2.65361820651344,6.44368588090171,1.16606299849357e-10,7.92514716926154e-06,56.2544634706338,20.4585147337306,2.41476222162232,8.47226884309371,2.406589148223e-17,1.73543956656657e-12,56.2544634706338,20.2651669384894,2.41374810247424,8.39572568393379,4.63025510251721e-17,2.76509574212123e-12,56.2544634706338,20.3106084752877,2.41524989046199,8.40931969627484,4.12395643664817e-17,2.54740913048194e-12,56.2544634706338,-13.7970769740357,1.8986422982684,-7.26681217763814,3.6807000759768e-13,3.04419661183813e-08,"ENSG00000005471","ENSG00000005471.19","ENST00000265723.8","7","ATP binding cassette subfamily B member 4 [Source:HGNC Symbol;Acc:HGNC:45]","GENCODE basic","ABCB4"
